 Sequencer @ sec=0, msec=382
   Frame Sampler release 15 @ sec=5, msec=396
   Time-stamp with Image Analysis release 5 @ sec=5, msec=396
   Send Time-stamped Image to Remote release 5 @ sec=5, msec=396
   Time-stamp Image Save to File release 5 @ sec=5, msec=396
   Sequencer cycle 151 @ sec=5, msec=429
   Sequencer cycle 152 @ sec=5, msec=463
   Sequencer cycle 153 @ sec=5, msec=496
   Sequencer cycle 154 @ sec=5, msec=529
   Sequencer cycle 155 @ sec=5, msec=563
   Sequencer cycle 156 @ sec=5, msec=596
   Sequencer cycle 157 @ sec=5, msec=630
   Sequencer cycle 158 @ sec=5, msec=663
   Sequencer cycle 159 @ sec=5, msec=696
   Sequencer cycle 160 @ sec=5, msec=730
   Frame Sampler release 16 @ sec=5, msec=730
   Sequencer cycle 161 @ sec=5, msec=763
   Sequencer cycle 162 @ sec=5, msec=797
   Sequencer cycle 163 @ sec=5, msec=830
   Sequencer cycle 164 @ sec=5, msec=863
   Sequencer cycle 165 @ sec=5, msec=897
   Sequencer cycle 166 @ sec=5, msec=930
   Sequencer cycle 167 @ sec=5, msec=964
   Sequencer cycle 168 @ sec=5, msec=997
   Sequencer cycle 169 @ sec=6, msec=30
   Sequencer cycle 170 @ sec=6, msec=64
   Frame Sampler release 17 @ sec=6, msec=64
   Sequencer cycle 171 @ sec=6, msec=97
   Sequencer cycle 172 @ sec=6, msec=131
   Sequencer cycle 173 @ sec=6, msec=164
   Sequencer cycle 174 @ sec=6, msec=197
   Sequencer cycle 175 @ sec=6, msec=231
   Sequencer cycle 176 @ sec=6, msec=264
   Sequencer cycle 177 @ sec=6, msec=298
   Sequencer cycle 178 @ sec=6, msec=331
   Sequencer cycle 179 @ sec=6, msec=364
   Sequencer cycle 180 @ sec=6, msec=398
   Time-stamp with Image Analysis release 6 @ sec=6, msec=398
   Send Time-stamped Image to Remote release 6 @ sec=6, msec=398
   Frame Sampler release 18 @ sec=6, msec=398
   Time-stamp Image Save to File release 6 @ sec=6, msec=398
   Processed Image Save to File release 3 @ sec=6, msec=398
   Difference Image Proc release 3 @ sec=6, msec=398
   Sequencer cycle 181 @ sec=6, msec=431
   Sequencer cycle 182 @ sec=6, msec=465
   Sequencer cycle 183 @ sec=6, msec=498
   Sequencer cycle 184 @ sec=6, msec=531
   Sequencer cycle 185 @ sec=6, msec=565
   Sequencer cycle 186 @ sec=6, msec=598
   Sequencer cycle 187 @ sec=6, msec=632
   Sequencer cycle 188 @ sec=6, msec=665
   Sequencer cycle 189 @ sec=6, msec=699
   Sequencer cycle 190 @ sec=6, msec=732
   Frame Sampler release 19 @ sec=6, msec=732
   Sequencer cycle 191 @ sec=6, msec=765
   Sequencer cycle 192 @ sec=6, msec=799
   Sequencer cycle 193 @ sec=6, msec=832
   Sequencer cycle 194 @ sec=6, msec=866
   Sequencer cycle 195 @ sec=6, msec=899
   Sequencer cycle 196 @ sec=6, msec=933
   Sequencer cycle 197 @ sec=6, msec=966
   Sequencer cycle 198 @ sec=6, msec=999
   Sequencer cycle 199 @ sec=7, msec=33
   Sequencer cycle 200 @ sec=7, msec=66
   Frame Sampler release 20 @ sec=7, msec=66
   Sequencer cycle 201 @ sec=7, msec=99
   Sequencer cycle 202 @ sec=7, msec=133
   Sequencer cycle 203 @ sec=7, msec=166
   Sequencer cycle 204 @ sec=7, msec=200
   Sequencer cycle 205 @ sec=7, msec=233
   Sequencer cycle 206 @ sec=7, msec=267
   Sequencer cycle 207 @ sec=7, msec=300
   Sequencer cycle 208 @ sec=7, msec=333
   Sequencer cycle 209 @ sec=7, msec=367
   Sequencer cycle 210 @ sec=7, msec=400
   Frame Sampler release 21 @ sec=7, msec=400
   Time-stamp Image Save to File release 7 @ sec=7, msec=400
   Send Time-stamped Image to Remote release 7 @ sec=7, msec=400
   Time-stamp with Image Analysis release 7 @ sec=7, msec=400
   Sequencer cycle 211 @ sec=7, msec=434
   Sequencer cycle 212 @ sec=7, msec=467
   Sequencer cycle 213 @ sec=7, msec=501
   Sequencer cycle 214 @ sec=7, msec=534
   Sequencer cycle 215 @ sec=7, msec=567
   Sequencer cycle 216 @ sec=7, msec=601
   Sequencer cycle 217 @ sec=7, msec=634
   Sequencer cycle 218 @ sec=7, msec=668
   Sequencer cycle 219 @ sec=7, msec=701
   Sequencer cycle 220 @ sec=7, msec=734
   Frame Sampler release 22 @ sec=7, msec=734
   Sequencer cycle 221 @ sec=7, msec=768
   Sequencer cycle 222 @ sec=7, msec=801
   Sequencer cycle 223 @ sec=7, msec=835
   Sequencer cycle 224 @ sec=7, msec=868
   Sequencer cycle 225 @ sec=7, msec=901
   Sequencer cycle 226 @ sec=7, msec=935
   Sequencer cycle 227 @ sec=7, msec=968
   Sequencer cycle 228 @ sec=8, msec=2
   Sequencer cycle 229 @ sec=8, msec=35
   Sequencer cycle 230 @ sec=8, msec=68
